mssubclass,mszoning,lotfrontage,lotshape,lotconfig,neighborhood,condition1,bldgtype,housestyle,overallqual,overallcond,yearbuilt,yearremodadd,roofstyle,exterior1st,exterior2nd,masvnrtype,masvnrarea,exterqual,extercond,foundation,bsmtqual,bsmtcond,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtfintype2,bsmtfinsf2,bsmtunfsf,totalbsmtsf,heatingqc,centralair,electrical,grlivarea,bsmtfullbath,bsmthalfbath,fullbath,halfbath,bedroomabvgr,kitchenqual,totrmsabvgrd,functional,fireplaces,fireplacequ,garagetype,garageyrblt,garagefinish,garagecars,garagearea,garagequal,wooddecksf,openporchsf,enclosedporch,fence,miscfeature,miscval,mosold,yrsold,saletype,salecondition,saleprice,SalePrice Bucket
MSSubClass-30,MSZoning-RM,LotFrontage-60,LotShape-Reg,LotConfig-Inside,Neighborhood-IDOTRR,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-3,OverallCond-4,YearBuilt-1922,YearRemodAdd-1950,RoofStyle-Hip,Exterior1st-Wd Sdng,Exterior2nd-Wd Sdng,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-BrkTil,BsmtQual-TA,BsmtCond-Fa,BsmtExposure-No,BsmtFinType1-Unf,BsmtFinSF1-0,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-1007,TotalBsmtSF-1007,HeatingQC-Fa,CentralAir-N,Electrical-SBrkr,GrLivArea-1077,BsmtFullBath-0,BsmtHalfBath-0,FullBath-1,HalfBath-0,BedroomAbvGr-3,KitchenQual-TA,TotRmsAbvGrd-6,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-Detchd,GarageYrBlt-1922,GarageFinish-Unf,GarageCars-1,GarageArea-210,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-100,EnclosedPorch-48,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-5,YrSold-2006,SaleType-WD,SaleCondition-Normal,SalePrice-91000,lt_100000
MSSubClass-20,MSZoning-RL,LotFrontage-64,LotShape-Reg,LotConfig-Inside,Neighborhood-CollgCr,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-7,OverallCond-5,YearBuilt-2006,YearRemodAdd-2006,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-Stone,MasVnrArea-24,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-Av,BsmtFinType1-GLQ,BsmtFinSF1-686,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-501,TotalBsmtSF-1187,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1208,BsmtFullBath-1,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-2,KitchenQual-Gd,TotRmsAbvGrd-6,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Attchd,GarageYrBlt-2006,GarageFinish-RFn,GarageCars-2,GarageArea-632,GarageQual-TA,WoodDeckSF-105,OpenPorchSF-61,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-2,YrSold-2010,SaleType-WD,SaleCondition-Normal,SalePrice-206000,gt_200000
MSSubClass-20,MSZoning-RL,LotFrontage-74,LotShape-Reg,LotConfig-Corner,Neighborhood-Edwards,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-3,OverallCond-3,YearBuilt-1952,YearRemodAdd-1952,RoofStyle-Flat,Exterior1st-BrkComm,Exterior2nd-Brk Cmn,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-Slab,BsmtQual-NA,BsmtCond-NA,BsmtExposure-NA,BsmtFinType1-NA,BsmtFinSF1-0,BsmtFinType2-NA,BsmtFinSF2-0,BsmtUnfSF-0,TotalBsmtSF-0,HeatingQC-Fa,CentralAir-N,Electrical-FuseF,GrLivArea-944,BsmtFullBath-0,BsmtHalfBath-0,FullBath-1,HalfBath-0,BedroomAbvGr-2,KitchenQual-Fa,TotRmsAbvGrd-4,Functional-Min1,Fireplaces-0,FireplaceQu-NA,GarageType-Detchd,GarageYrBlt-1956,GarageFinish-Unf,GarageCars-2,GarageArea-528,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-7,YrSold-2009,SaleType-WD,SaleCondition-Normal,SalePrice-82000,lt_100000
MSSubClass-30,MSZoning-RL,LotFrontage-60,LotShape-Reg,LotConfig-Corner,Neighborhood-OldTown,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-5,OverallCond-6,YearBuilt-1920,YearRemodAdd-1950,RoofStyle-Gable,Exterior1st-Wd Sdng,Exterior2nd-Wd Sdng,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-BrkTil,BsmtQual-Fa,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-Unf,BsmtFinSF1-0,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-691,TotalBsmtSF-691,HeatingQC-Ex,CentralAir-Y,Electrical-FuseA,GrLivArea-691,BsmtFullBath-0,BsmtHalfBath-0,FullBath-1,HalfBath-0,BedroomAbvGr-2,KitchenQual-Ex,TotRmsAbvGrd-4,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Detchd,GarageYrBlt-1920,GarageFinish-Unf,GarageCars-1,GarageArea-216,GarageQual-Fa,WoodDeckSF-0,OpenPorchSF-20,EnclosedPorch-94,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-1,YrSold-2007,SaleType-WD,SaleCondition-Abnorml,SalePrice-86000,lt_100000
MSSubClass-20,MSZoning-RL,LotFrontage-75,LotShape-IR1,LotConfig-Inside,Neighborhood-Somerst,Condition1-RRAn,BldgType-1Fam,HouseStyle-1Story,OverallQual-8,OverallCond-5,YearBuilt-2006,YearRemodAdd-2006,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-BrkFace,MasVnrArea-53,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-GLQ,BsmtFinSF1-24,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-1550,TotalBsmtSF-1574,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1574,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-3,KitchenQual-Gd,TotRmsAbvGrd-7,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-Attchd,GarageYrBlt-2006,GarageFinish-RFn,GarageCars-3,GarageArea-824,GarageQual-TA,WoodDeckSF-144,OpenPorchSF-104,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-7,YrSold-2008,SaleType-WD,SaleCondition-Normal,SalePrice-232000,gt_200000
MSSubClass-90,MSZoning-RL,LotFrontage-NA,LotShape-IR1,LotConfig-Corner,Neighborhood-NWAmes,Condition1-Feedr,BldgType-Duplex,HouseStyle-1Story,OverallQual-5,OverallCond-6,YearBuilt-1976,YearRemodAdd-1976,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-BrkFace,MasVnrArea-164,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-Unf,BsmtFinSF1-0,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-1680,TotalBsmtSF-1680,HeatingQC-Fa,CentralAir-Y,Electrical-SBrkr,GrLivArea-1680,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-4,KitchenQual-TA,TotRmsAbvGrd-8,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Detchd,GarageYrBlt-1976,GarageFinish-Unf,GarageCars-2,GarageArea-528,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-6,YrSold-2007,SaleType-WD,SaleCondition-Normal,SalePrice-136905,gt_100000
MSSubClass-120,MSZoning-RL,LotFrontage-43,LotShape-Reg,LotConfig-Inside,Neighborhood-Blmngtn,Condition1-Norm,BldgType-TwnhsE,HouseStyle-1Story,OverallQual-7,OverallCond-5,YearBuilt-2005,YearRemodAdd-2006,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-BrkFace,MasVnrArea-16,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-GLQ,BsmtFinSF1-16,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-1330,TotalBsmtSF-1346,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1504,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-1,KitchenQual-Gd,TotRmsAbvGrd-7,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-Attchd,GarageYrBlt-2005,GarageFinish-Fin,GarageCars-2,GarageArea-457,GarageQual-TA,WoodDeckSF-156,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-5,YrSold-2009,SaleType-WD,SaleCondition-Normal,SalePrice-181000,gt_100000
MSSubClass-80,MSZoning-RL,LotFrontage-65,LotShape-Reg,LotConfig-Inside,Neighborhood-CollgCr,Condition1-Norm,BldgType-1Fam,HouseStyle-SLvl,OverallQual-5,OverallCond-8,YearBuilt-1977,YearRemodAdd-1977,RoofStyle-Gable,Exterior1st-HdBoard,Exterior2nd-HdBoard,MasVnrType-BrkFace,MasVnrArea-220,ExterQual-Gd,ExterCond-TA,Foundation-CBlock,BsmtQual-Gd,BsmtCond-Gd,BsmtExposure-Av,BsmtFinType1-GLQ,BsmtFinSF1-595,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-390,TotalBsmtSF-985,HeatingQC-TA,CentralAir-Y,Electrical-SBrkr,GrLivArea-985,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-3,KitchenQual-TA,TotRmsAbvGrd-6,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Attchd,GarageYrBlt-1977,GarageFinish-Unf,GarageCars-1,GarageArea-328,GarageQual-TA,WoodDeckSF-210,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-11,YrSold-2008,SaleType-WD,SaleCondition-Normal,SalePrice-149900,gt_100000
MSSubClass-20,MSZoning-RL,LotFrontage-NA,LotShape-IR3,LotConfig-Inside,Neighborhood-NAmes,Condition1-PosN,BldgType-1Fam,HouseStyle-1Story,OverallQual-6,OverallCond-3,YearBuilt-1970,YearRemodAdd-1970,RoofStyle-Gable,Exterior1st-Plywood,Exterior2nd-Plywood,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-LwQ,BsmtFinSF1-1237,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-420,TotalBsmtSF-1657,HeatingQC-Gd,CentralAir-Y,Electrical-SBrkr,GrLivArea-1657,BsmtFullBath-0,BsmtHalfBath-1,FullBath-2,HalfBath-0,BedroomAbvGr-3,KitchenQual-TA,TotRmsAbvGrd-7,Functional-Typ,Fireplaces-1,FireplaceQu-TA,GarageType-Attchd,GarageYrBlt-1970,GarageFinish-Unf,GarageCars-2,GarageArea-484,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-3,YrSold-2007,SaleType-WD,SaleCondition-Normal,SalePrice-163500,gt_100000
MSSubClass-160,MSZoning-RM,LotFrontage-21,LotShape-Reg,LotConfig-Inside,Neighborhood-MeadowV,Condition1-Norm,BldgType-TwnhsE,HouseStyle-2Story,OverallQual-4,OverallCond-4,YearBuilt-1970,YearRemodAdd-1970,RoofStyle-Gable,Exterior1st-CemntBd,Exterior2nd-CmentBd,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-BLQ,BsmtFinSF1-273,BsmtFinType2-LwQ,BsmtFinSF2-273,BsmtUnfSF-0,TotalBsmtSF-546,HeatingQC-TA,CentralAir-Y,Electrical-SBrkr,GrLivArea-1092,BsmtFullBath-0,BsmtHalfBath-0,FullBath-1,HalfBath-1,BedroomAbvGr-3,KitchenQual-TA,TotRmsAbvGrd-6,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Attchd,GarageYrBlt-1970,GarageFinish-RFn,GarageCars-1,GarageArea-286,GarageQual-TA,WoodDeckSF-238,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-8,YrSold-2009,SaleType-WD,SaleCondition-Normal,SalePrice-88000,lt_100000
MSSubClass-20,MSZoning-RL,LotFrontage-43,LotShape-IR1,LotConfig-CulDSac,Neighborhood-Mitchel,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-7,OverallCond-5,YearBuilt-2004,YearRemodAdd-2005,RoofStyle-Hip,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-Stone,MasVnrArea-108,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Ex,BsmtCond-TA,BsmtExposure-Mn,BsmtFinType1-Unf,BsmtFinSF1-0,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-1710,TotalBsmtSF-1710,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1710,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-3,KitchenQual-Gd,TotRmsAbvGrd-7,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-Attchd,GarageYrBlt-2004,GarageFinish-Fin,GarageCars-2,GarageArea-550,GarageQual-TA,WoodDeckSF-100,OpenPorchSF-48,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-4,YrSold-2009,SaleType-WD,SaleCondition-Normal,SalePrice-240000,gt_200000
MSSubClass-50,MSZoning-RL,LotFrontage-60,LotShape-Reg,LotConfig-Inside,Neighborhood-SWISU,Condition1-Norm,BldgType-1Fam,HouseStyle-1.5Fin,OverallQual-5,OverallCond-5,YearBuilt-1926,YearRemodAdd-1950,RoofStyle-Gable,Exterior1st-Wd Sdng,Exterior2nd-Wd Sdng,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-Fa,Foundation-BrkTil,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-Unf,BsmtFinSF1-0,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-1008,TotalBsmtSF-1008,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1522,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-4,KitchenQual-TA,TotRmsAbvGrd-7,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-NA,GarageYrBlt-NA,GarageFinish-NA,GarageCars-0,GarageArea-0,GarageQual-NA,WoodDeckSF-0,OpenPorchSF-0,EnclosedPorch-138,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-6,YrSold-2006,SaleType-WD,SaleCondition-Normal,SalePrice-102000,gt_100000
MSSubClass-50,MSZoning-RL,LotFrontage-115,LotShape-Reg,LotConfig-Inside,Neighborhood-Sawyer,Condition1-Norm,BldgType-1Fam,HouseStyle-1.5Fin,OverallQual-5,OverallCond-5,YearBuilt-1948,YearRemodAdd-1950,RoofStyle-Gable,Exterior1st-Wd Sdng,Exterior2nd-Wd Sdng,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-Unf,BsmtFinSF1-0,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-720,TotalBsmtSF-720,HeatingQC-TA,CentralAir-Y,Electrical-SBrkr,GrLivArea-1271,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-4,KitchenQual-TA,TotRmsAbvGrd-7,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-Attchd,GarageYrBlt-1948,GarageFinish-Unf,GarageCars-1,GarageArea-312,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-0,EnclosedPorch-108,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-8,YrSold-2008,SaleType-WD,SaleCondition-Normal,SalePrice-135000,gt_100000
MSSubClass-90,MSZoning-RL,LotFrontage-75,LotShape-Reg,LotConfig-Inside,Neighborhood-Edwards,Condition1-Norm,BldgType-Duplex,HouseStyle-1Story,OverallQual-5,OverallCond-5,YearBuilt-1965,YearRemodAdd-1965,RoofStyle-Hip,Exterior1st-AsphShn,Exterior2nd-AsphShn,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-NA,BsmtCond-NA,BsmtExposure-NA,BsmtFinType1-NA,BsmtFinSF1-0,BsmtFinType2-NA,BsmtFinSF2-0,BsmtUnfSF-0,TotalBsmtSF-0,HeatingQC-TA,CentralAir-N,Electrical-SBrkr,GrLivArea-1664,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-4,KitchenQual-TA,TotRmsAbvGrd-8,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-NA,GarageYrBlt-NA,GarageFinish-NA,GarageCars-0,GarageArea-0,GarageQual-NA,WoodDeckSF-0,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-5,YrSold-2010,SaleType-WD,SaleCondition-Normal,SalePrice-100000,lt_100000
MSSubClass-70,MSZoning-RL,LotFrontage-55,LotShape-Reg,LotConfig-Inside,Neighborhood-Crawfor,Condition1-Norm,BldgType-1Fam,HouseStyle-2Story,OverallQual-6,OverallCond-7,YearBuilt-1923,YearRemodAdd-1996,RoofStyle-Hip,Exterior1st-Wd Sdng,Exterior2nd-Wd Sdng,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-Gd,Foundation-PConc,BsmtQual-TA,BsmtCond-Fa,BsmtExposure-No,BsmtFinType1-Unf,BsmtFinSF1-0,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-602,TotalBsmtSF-602,HeatingQC-TA,CentralAir-Y,Electrical-SBrkr,GrLivArea-1502,BsmtFullBath-0,BsmtHalfBath-0,FullBath-1,HalfBath-1,BedroomAbvGr-3,KitchenQual-Gd,TotRmsAbvGrd-7,Functional-Typ,Fireplaces-2,FireplaceQu-TA,GarageType-Detchd,GarageYrBlt-1923,GarageFinish-Unf,GarageCars-1,GarageArea-180,GarageQual-TA,WoodDeckSF-96,OpenPorchSF-0,EnclosedPorch-112,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-8,YrSold-2007,SaleType-WD,SaleCondition-Normal,SalePrice-165000,gt_100000
MSSubClass-30,MSZoning-RM,LotFrontage-60,LotShape-Reg,LotConfig-Inside,Neighborhood-OldTown,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-5,OverallCond-4,YearBuilt-1910,YearRemodAdd-2006,RoofStyle-Hip,Exterior1st-MetalSd,Exterior2nd-Stucco,MasVnrType-None,MasVnrArea-0,ExterQual-TA,ExterCond-TA,Foundation-BrkTil,BsmtQual-TA,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-ALQ,BsmtFinSF1-247,BsmtFinType2-Rec,BsmtFinSF2-465,BsmtUnfSF-310,TotalBsmtSF-1022,HeatingQC-TA,CentralAir-N,Electrical-SBrkr,GrLivArea-1022,BsmtFullBath-1,BsmtHalfBath-0,FullBath-1,HalfBath-0,BedroomAbvGr-2,KitchenQual-TA,TotRmsAbvGrd-4,Functional-Maj2,Fireplaces-0,FireplaceQu-NA,GarageType-Detchd,GarageYrBlt-1956,GarageFinish-Unf,GarageCars-1,GarageArea-280,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-30,EnclosedPorch-226,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-6,YrSold-2009,SaleType-WD,SaleCondition-Normal,SalePrice-85000,lt_100000
MSSubClass-20,MSZoning-RL,LotFrontage-60,LotShape-Reg,LotConfig-Inside,Neighborhood-NAmes,Condition1-Artery,BldgType-1Fam,HouseStyle-1Story,OverallQual-6,OverallCond-5,YearBuilt-1948,YearRemodAdd-1950,RoofStyle-Gable,Exterior1st-MetalSd,Exterior2nd-MetalSd,MasVnrType-BrkFace,MasVnrArea-206,ExterQual-TA,ExterCond-TA,Foundation-CBlock,BsmtQual-TA,BsmtCond-Fa,BsmtExposure-No,BsmtFinType1-BLQ,BsmtFinSF1-336,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-746,TotalBsmtSF-1082,HeatingQC-TA,CentralAir-Y,Electrical-SBrkr,GrLivArea-1082,BsmtFullBath-0,BsmtHalfBath-0,FullBath-1,HalfBath-0,BedroomAbvGr-2,KitchenQual-TA,TotRmsAbvGrd-5,Functional-Typ,Fireplaces-1,FireplaceQu-Gd,GarageType-Detchd,GarageYrBlt-1948,GarageFinish-Unf,GarageCars-1,GarageArea-240,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-130,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-11,YrSold-2007,SaleType-WD,SaleCondition-Normal,SalePrice-119200,gt_100000
MSSubClass-60,MSZoning-RL,LotFrontage-70,LotShape-Reg,LotConfig-Inside,Neighborhood-NWAmes,Condition1-Norm,BldgType-1Fam,HouseStyle-2Story,OverallQual-8,OverallCond-6,YearBuilt-2001,YearRemodAdd-2001,RoofStyle-Gable,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-None,MasVnrArea-0,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-GLQ,BsmtFinSF1-643,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-167,TotalBsmtSF-810,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1665,BsmtFullBath-1,BsmtHalfBath-0,FullBath-2,HalfBath-1,BedroomAbvGr-3,KitchenQual-Gd,TotRmsAbvGrd-6,Functional-Typ,Fireplaces-0,FireplaceQu-NA,GarageType-Attchd,GarageYrBlt-2001,GarageFinish-Fin,GarageCars-2,GarageArea-528,GarageQual-TA,WoodDeckSF-0,OpenPorchSF-45,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-11,YrSold-2009,SaleType-WD,SaleCondition-Normal,SalePrice-227000,gt_200000
MSSubClass-20,MSZoning-RL,LotFrontage-73,LotShape-Reg,LotConfig-Inside,Neighborhood-CollgCr,Condition1-Norm,BldgType-1Fam,HouseStyle-1Story,OverallQual-7,OverallCond-5,YearBuilt-1996,YearRemodAdd-1996,RoofStyle-Hip,Exterior1st-VinylSd,Exterior2nd-VinylSd,MasVnrType-BrkFace,MasVnrArea-196,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-Gd,BsmtFinType1-GLQ,BsmtFinSF1-690,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-814,TotalBsmtSF-1504,HeatingQC-Ex,CentralAir-Y,Electrical-SBrkr,GrLivArea-1504,BsmtFullBath-1,BsmtHalfBath-0,FullBath-2,HalfBath-0,BedroomAbvGr-3,KitchenQual-Gd,TotRmsAbvGrd-6,Functional-Typ,Fireplaces-1,FireplaceQu-TA,GarageType-Attchd,GarageYrBlt-1996,GarageFinish-Fin,GarageCars-2,GarageArea-478,GarageQual-TA,WoodDeckSF-115,OpenPorchSF-66,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-6,YrSold-2009,SaleType-WD,SaleCondition-Normal,SalePrice-203000,gt_200000
MSSubClass-120,MSZoning-RL,LotFrontage-NA,LotShape-IR1,LotConfig-CulDSac,Neighborhood-StoneBr,Condition1-Norm,BldgType-TwnhsE,HouseStyle-1Story,OverallQual-8,OverallCond-5,YearBuilt-1984,YearRemodAdd-1984,RoofStyle-Gable,Exterior1st-HdBoard,Exterior2nd-HdBoard,MasVnrType-None,MasVnrArea-0,ExterQual-Gd,ExterCond-TA,Foundation-CBlock,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-Av,BsmtFinType1-GLQ,BsmtFinSF1-1036,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-184,TotalBsmtSF-1220,HeatingQC-Gd,CentralAir-Y,Electrical-SBrkr,GrLivArea-1360,BsmtFullBath-1,BsmtHalfBath-0,FullBath-1,HalfBath-0,BedroomAbvGr-1,KitchenQual-Gd,TotRmsAbvGrd-4,Functional-Typ,Fireplaces-1,FireplaceQu-Ex,GarageType-Attchd,GarageYrBlt-1984,GarageFinish-RFn,GarageCars-2,GarageArea-565,GarageQual-TA,WoodDeckSF-63,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-8,YrSold-2009,SaleType-COD,SaleCondition-Abnorml,SalePrice-187500,gt_100000
MSSubClass-80,MSZoning-RL,LotFrontage-NA,LotShape-IR1,LotConfig-FR2,Neighborhood-Gilbert,Condition1-Norm,BldgType-1Fam,HouseStyle-SLvl,OverallQual-7,OverallCond-5,YearBuilt-1991,YearRemodAdd-1992,RoofStyle-Gable,Exterior1st-HdBoard,Exterior2nd-HdBoard,MasVnrType-BrkFace,MasVnrArea-76,ExterQual-Gd,ExterCond-TA,Foundation-PConc,BsmtQual-Gd,BsmtCond-TA,BsmtExposure-No,BsmtFinType1-Unf,BsmtFinSF1-0,BsmtFinType2-Unf,BsmtFinSF2-0,BsmtUnfSF-384,TotalBsmtSF-384,HeatingQC-Gd,CentralAir-Y,Electrical-SBrkr,GrLivArea-1472,BsmtFullBath-0,BsmtHalfBath-0,FullBath-2,HalfBath-1,BedroomAbvGr-3,KitchenQual-Gd,TotRmsAbvGrd-7,Functional-Typ,Fireplaces-1,FireplaceQu-TA,GarageType-Attchd,GarageYrBlt-1991,GarageFinish-RFn,GarageCars-2,GarageArea-402,GarageQual-TA,WoodDeckSF-164,OpenPorchSF-0,EnclosedPorch-0,Fence-NA,MiscFeature-NA,MiscVal-0,MoSold-5,YrSold-2007,SaleType-WD,SaleCondition-Normal,SalePrice-160000,gt_100000
